Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified
/Attraction_Review-g303428-d8648214-Reviews-Paroquia_Santo_Antonio_de_Lisboa-Joao_Pessoa_State_of_Paraiba.html,Paróquia Santo Antônio de Lisboa,Pontos turísticos e de interesse,"Av. Olinda | Tambaú, João Pessoa, Paraíba 58040-340, Brasil",N/A,N/A,165,"4,5",73%,23%,2%,1%,1%,True
/Attraction_Review-g303428-d2342337-Reviews-Parque_Solon_de_Lucena-Joao_Pessoa_State_of_Paraiba.html,Parque Sólon de Lucena,Natureza e parques,"João Pessoa, Paraíba 58013-130, Brasil",Dom - Sáb,00:00 - 23:59,437,"4,0",40%,33%,20%,6%,1%,True
/Attraction_Review-g303428-d2342259-Reviews-Praia_da_Ponta_do_Seixas-Joao_Pessoa_State_of_Paraiba.html,Praia da Ponta do Seixas,Atividades ao ar livre,"Rua dos Pescadores | Litoral Sul, João Pessoa, Paraíba 58045-530, Brasil",N/A,N/A,943,"4,0",41%,35%,16%,6%,2%,False
/Attraction_Review-g303428-d2342195-Reviews-Farol_Do_Cabo_Branco-Joao_Pessoa_State_of_Paraiba.html,Farol Do Cabo Branco,Pontos turísticos e de interesse,"Ponta Do Cabo Branco, João Pessoa, Paraíba, Brasil",N/A,N/A,2.797,"4,0",31%,38%,26%,4%,1%,False
/Attraction_Review-g303428-d8564812-Reviews-Bosque_dos_Sonhos-Joao_Pessoa_State_of_Paraiba.html,Bosque dos Sonhos,Pontos turísticos e de interesse,"Rua Farol do Cabo Branco | Cabo Branco, João Pessoa, Paraíba 58069-506, Brasil",N/A,N/A,166,"4,0",31%,45%,18%,5%,1%,False
/Attraction_Review-g303428-d7690129-Reviews-Mangabeira_Shopping_Center-Joao_Pessoa_State_of_Paraiba.html,Mangabeira Shopping Center,Compras,"Av. Hilton Souto Maior - Mangabeira, João Pessoa, Paraíba 58055-018, Brasil",Dom,11:00 - 22:00,196,"4,0",45%,38%,15%,1%,1%,False
/Attraction_Review-g303428-d4451259-Reviews-Jardim_Botanico_Benjamin_Maranhao-Joao_Pessoa_State_of_Paraiba.html,Jardim Botânico - Benjamin Maranhão,Natureza e parques,"Av. Dom Pedro II, S/N | Torre, João Pessoa, Paraíba 58013-908, Brasil",Ter - Sáb,08:00 - 17:00,544,"4,0",47%,36%,14%,2%,1%,False
/Attraction_Review-g303428-d6514440-Reviews-Estacao_Cabo_Branco-Joao_Pessoa_State_of_Paraiba.html,Estação Cabo Branco,Museus,"Rua João Cyrillo - Altiplano Cabo Branco, João Pessoa, Paraíba 58046-010, Brasil",Ter - Sex,09:00 - 18:00,3.225,"4,0",48%,34%,14%,3%,1%,False
/Attraction_Review-g303428-d4056599-Reviews-Manaira_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia Manaira,Atividades ao ar livre,"João Pessoa, Paraíba, Brasil",N/A,N/A,613,"4,0",27%,41%,25%,6%,1%,False
/Attraction_Review-g303428-d2342339-Reviews-Parque_Zoobotanico_Arruda_Camara-Joao_Pessoa_State_of_Paraiba.html,Parque Zoobotânico Arruda Câmara,Natureza e parques,"Av. Gouveia Nóbrega | Centro, João Pessoa, Paraíba 58020-325, Brasil",Ter - Dom,08:00 - 17:00,525,"4,0",31%,42%,22%,4%,1%,False
/Attraction_Review-g303428-d4056583-Reviews-Sol_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia do Sol,Atividades ao ar livre,"Barra de Gramame, João Pessoa, Paraíba 58033-455, Brasil",N/A,N/A,179,"4,0",45%,33%,17%,3%,2%,False
/Attraction_Review-g303428-d10426363-Reviews-Pedra_do_Reino_Theater-Joao_Pessoa_State_of_Paraiba.html,Teatro Pedra do Reino,Concertos e shows,"Rodovia PB 008, Km 5 | Centro de Convenções de João Pessoa, João Pessoa, Paraíba 58000-000, Brasil",N/A,N/A,26,"4,5",82%,11%,7%,0%,0%,False
/Attraction_Review-g303428-d9455953-Reviews-Praca_da_Independencia-Joao_Pessoa_State_of_Paraiba.html,Praça da Independência,Pontos turísticos e de interesse,"Av. Dom Pedro I, João Pessoa, Paraíba, Brasil",N/A,N/A,144,"4,5",54%,34%,11%,0%,1%,True
/Attraction_Review-g303428-d10121838-Reviews-Ponto_dos_Seixas-Joao_Pessoa_State_of_Paraiba.html,Ponta dos Seixas,Pontos turísticos e de interesse,"João Pessoa, Paraíba, Brasil",N/A,N/A,202,"4,0",30%,40%,26%,3%,1%,True
/Attraction_Review-g303428-d7046799-Reviews-Academia_Paraibana_de_Letras-Joao_Pessoa_State_of_Paraiba.html,Academia Paraibana de Letras,Pontos turísticos e de interesse,"Rua Duque de Caxias 25, João Pessoa, Paraíba 58010-820, Brasil",N/A,N/A,98,"4,5",48%,42%,9%,1%,0%,False
/Attraction_Review-g303428-d2342211-Reviews-Monastery_of_Sao_Bento-Joao_Pessoa_State_of_Paraiba.html,Mosteiro de São Bento,Pontos turísticos e de interesse,"Rua General Osório s/n, João Pessoa, Paraíba 58010-780, Brasil",N/A,N/A,270,"4,5",49%,37%,12%,1%,1%,False
/Attraction_Review-g303428-d4376604-Reviews-Popular_Artist_House-Joao_Pessoa_State_of_Paraiba.html,Casa do Artista Popular,Museus,"Praca da Independencia 56 | Centro, João Pessoa, Paraíba 58013-025, Brasil",N/A,N/A,178,"4,5",56%,34%,8%,1%,1%,False
/Attraction_Review-g303428-d8816286-Reviews-Catedral_Basilica_de_Nossa_Senhora_das_Neves-Joao_Pessoa_State_of_Paraiba.html,Catedral Basílica de Nossa Senhora das Neves,Pontos turísticos e de interesse,"Praça Dom Ulrico | Centro Historico, João Pessoa, Paraíba 58010-740, Brasil",N/A,N/A,67,"4,0",45%,35%,19%,1%,0%,False
/Attraction_Review-g303428-d13804101-Reviews-Busto_de_Tamandare-Joao_Pessoa_State_of_Paraiba.html,Busto de Tamandaré,Pontos turísticos e de interesse,"Avenida Almirante Tamandaré, s/n, João Pessoa, Paraíba 58039-010, Brasil",N/A,N/A,29,"4,0",53%,24%,20%,3%,0%,False
/Attraction_Review-g303428-d2342207-Reviews-Nossa_Senhora_do_Carmo_Church-Joao_Pessoa_State_of_Paraiba.html,Igreja de Nossa Senhora do Carmo,Pontos turísticos e de interesse,"Praça Dom Adauto, João Pessoa, Paraíba 58010-670, Brasil",Seg - Sex,09:00 - 11:30,447,"4,5",49%,38%,11%,1%,1%,False
/Attraction_Review-g303428-d8816286-Reviews-Catedral_Basilica_de_Nossa_Senhora_das_Neves-Joao_Pessoa_State_of_Paraiba.html,Catedral Basílica de Nossa Senhora das Neves,Igrejas e catedrais,"Praça Dom Ulrico | Centro Historico, João Pessoa, Paraíba 58010-740, Brasil",N/A,N/A,67,"4,0",45%,35%,19%,1%,0%,False
/Attraction_Review-g303428-d13804101-Reviews-Busto_de_Tamandare-Joao_Pessoa_State_of_Paraiba.html,Busto de Tamandaré,Monumentos e estátuas,"Avenida Almirante Tamandaré, s/n, João Pessoa, Paraíba 58039-010, Brasil",N/A,N/A,29,"4,0",53%,24%,20%,3%,0%,False
/Attraction_Review-g793398-d2342307-Reviews-Camboinha_Beach-Cabedelo_State_of_Paraiba.html,Praia de Camboinha,Praias," | Litoral Norte, Cabedelo, Paraíba, Brasil",N/A,N/A,1.093,"4,5",58%,31%,9%,1%,1%,True
/Attraction_Review-g303428-d2342207-Reviews-Nossa_Senhora_do_Carmo_Church-Joao_Pessoa_State_of_Paraiba.html,Igreja de Nossa Senhora do Carmo,Igrejas e catedrais,"Praça Dom Adauto, João Pessoa, Paraíba 58010-670, Brasil",Seg - Sex,09:00 - 11:30,447,"4,5",49%,38%,11%,1%,1%,False
/Attraction_Review-g793398-d4056604-Reviews-Ponta_de_Campina_Beach-Cabedelo_State_of_Paraiba.html,Praia da Ponta de Campina,Praias,"Localizada entre as praias de Intermares e do Poço, Cabedelo, Paraíba, Brasil",N/A,N/A,469,"4,5",62%,31%,5%,1%,1%,True
/Attraction_Review-g303428-d8759885-Reviews-Centro_de_Convencoes_Poeta_Ronaldo_Cunha_Lima-Joao_Pessoa_State_of_Paraiba.html,Centro de Convenções Poeta Ronaldo Cunha Lima,N/A,"Rodovia PB-008, Km 5, João Pessoa, Paraíba, Brasil",N/A,N/A,80,"4,5",60%,33%,5%,1%,1%,False
/Attraction_Review-g303428-d8838788-Reviews-Praca_Joao_Pessoa-Joao_Pessoa_State_of_Paraiba.html,Praça João Pessoa,Pontos de interesse,"Rua Duque de Caxias 137 | Centro Histórico, João Pessoa, Paraíba 58010-974, Brasil",N/A,N/A,48,"4,0",29%,42%,27%,2%,0%,False
/Attraction_Review-g303428-d8704047-Reviews-Usina_Cultural_Energisa-Joao_Pessoa_State_of_Paraiba.html,Usina Cultural Energisa,Teatros,"Rua Joao Bernardo de Albuquerque 243 | Tambia, João Pessoa, Paraíba 58020-565, Brasil",N/A,N/A,25,"4,5",52%,48%,0%,0%,0%,False
/Attraction_Review-g303428-d2342351-Reviews-Casa_da_Polvora-Joao_Pessoa_State_of_Paraiba.html,Casa da Pólvora,Locais históricos,"Ladeira de São Francisco, s/n | Centro, João Pessoa, Paraíba 58010-630, Brasil",N/A,N/A,162,"3,5",22%,34%,31%,12%,1%,False
/Attraction_Review-g303428-d8838809-Reviews-Shopping_Centro_Terceirao-Joao_Pessoa_State_of_Paraiba.html,Shopping Centro Terceirão,Shopping centers,"Rua Duque de Caxias 200 | Centro Historico, João Pessoa, Paraíba 58010-820, Brasil",N/A,N/A,21,"4,0",45%,19%,23%,9%,4%,False
/Attraction_Review-g303428-d4451230-Reviews-Planetarium_of_the_Paraiba_Cultural_Space_Foundation-Joao_Pessoa_State_of_Paraiba.html,Planetário da Fundação Espaço Cultural da Paraíba,Museus especializados,"Avenida Abdias Gomes de Almeida, 800 | Tambauzinho, João Pessoa, Paraíba 58042-100, Brasil",N/A,N/A,216,"4,0",49%,33%,9%,6%,3%,False
/Attraction_Review-g303428-d2342324-Reviews-Porto_de_Cabedelo-Joao_Pessoa_State_of_Paraiba.html,Porto de Cabedelo,Píeres e calçadões,"Rua Presidente João Pessoa, s/nº – Centro | Cidade de Cabedelo, João Pessoa, Paraíba 58310-000, Brasil",N/A,N/A,254,"3,5",32%,29%,28%,9%,2%,False
/Attraction_Review-g793398-d4474635-Reviews-Areia_Vermelha_Marine_State_Park-Cabedelo_State_of_Paraiba.html,Parque Estadual Marinho de Areia Vermelha,Parques,"Cabedelo, Paraíba 58100-248, Brasil",N/A,N/A,236,"4,5",62%,30%,5%,3%,0%,False
/Attraction_Review-g303428-d9839362-Reviews-Aquario_Paraiba-Joao_Pessoa_State_of_Paraiba.html,Aquário Paraíba,Aquários,"Rua das Lagostas 180 | Praia do Seixas, João Pessoa, Paraíba 58045-600, Brasil",Qua - Dom,09:00 - 16:00,52,"3,5",23%,38%,19%,9%,11%,False
/Attraction_Review-g303428-d4056592-Reviews-Penha_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia da Penha,Praias,"João Pessoa, Paraíba, Brasil",N/A,N/A,72,"3,5",19%,43%,31%,5%,2%,False
/Attraction_Review-g793398-d2342304-Reviews-Intermares_Beach-Cabedelo_State_of_Paraiba.html,Praia de Intermares,Praias,"Litoral Norte, Cabedelo, Paraíba, Brasil",N/A,N/A,580,"4,0",39%,43%,15%,2%,1%,True
/Attraction_Review-g303428-d2342356-Reviews-Cidade_Alta-Joao_Pessoa_State_of_Paraiba.html,Cidade Alta,Áreas históricas para caminhadas," | Centro, João Pessoa, Paraíba, Brasil",N/A,N/A,95,"4,0",29%,47%,21%,2%,1%,False
/Attraction_Review-g303428-d10353883-Reviews-Mercado_Central-Joao_Pessoa_State_of_Paraiba.html,Mercado Central,Feiras livres,"Av. Princesa Isabel, João Pessoa, Paraíba 58013-251, Brasil",N/A,N/A,34,"3,0",14%,20%,41%,8%,17%,False
/Attraction_Review-g303428-d8838534-Reviews-Tambau_Tourist_Center-Joao_Pessoa_State_of_Paraiba.html,Centro Turistico Tambau,Centros turísticos,"Avenida Almirante Tamandare 100, João Pessoa, Paraíba 58039-010, Brasil",N/A,N/A,124,"3,5",20%,29%,44%,6%,1%,False
/Attraction_Review-g303428-d6826532-Reviews-Igreja_de_Sao_Frei_Pedro_Goncalves-Joao_Pessoa_State_of_Paraiba.html,Igreja de São Frei Pedro Gonçalves,Igrejas e catedrais,"Centro Histórico, João Pessoa, Paraíba, Brasil",N/A,N/A,46,"4,0",21%,62%,17%,0%,0%,False
/Attraction_Review-g303428-d8505093-Reviews-Praca_da_Paz-Joao_Pessoa_State_of_Paraiba.html,Praça da Paz,Playgrounds,"Rua Empresário João Rodrigues Alves | Bancários, João Pessoa, Paraíba 58051-022, Brasil",N/A,N/A,59,"4,0",30%,36%,28%,6%,0%,False
/Attraction_Review-g303428-d2342198-Reviews-Theatro_Santa_Roza-Joao_Pessoa_State_of_Paraiba.html,Theatro Santa Roza,Teatros,"Praça Pedro Américo, João Pessoa, Paraíba 58010-340, Brasil",N/A,N/A,116,"4,0",39%,45%,15%,0%,1%,False
/Attraction_Review-g303428-d15306738-Reviews-Hotel_Globo-Joao_Pessoa_State_of_Paraiba.html,Hotel Globo,Museus especializados,"Praça São Pedro Gonçalves, 7 | Largo de Sao Frei Pedro Goncalves - Varadouro, João Pessoa, Paraíba 58010-590, Brasil",N/A,N/A,14,"4,0",28%,37%,28%,7%,0%,False
/Attraction_Review-g303428-d2342345-Reviews-Venancio_Neiva_Square-Joao_Pessoa_State_of_Paraiba.html,Praça Venâncio Neiva,Pontos de interesse,"Rua Duque de Caxias | Centro, João Pessoa, Paraíba, Brasil",N/A,N/A,41,"4,0",21%,51%,26%,2%,0%,False
/Attraction_Review-g303428-d14135949-Reviews-Celeiro_Espaco_Criativo-Joao_Pessoa_State_of_Paraiba.html,Celeiro Espaço Criativo,Galerias de arte,"Rua João Cirilo da Silva, 850 | Ao lado do Shopping Pátio Altiplano, João Pessoa, Paraíba 58033-455, Brasil",Seg - Sex,09:00 - 19:00,7,"4,5",86%,0%,0%,0%,14%,False
/Attraction_Review-g303428-d2342215-Reviews-Jose_Americo_House-Joao_Pessoa_State_of_Paraiba.html,Casa de José Américo,Museus especializados,"Av. Cabo Branco, 3336 | Cabo Branco, João Pessoa, Paraíba 58045-010, Brasil",N/A,N/A,28,"4,0",10%,73%,17%,0%,0%,False
/Attraction_Review-g303428-d4127276-Reviews-Ariano_Suassuna_Col_Diocesano_Pio_X_Theater-Joao_Pessoa_State_of_Paraiba.html,Teatro Ariano Suassuna - Col.Diocesano Pio X,Teatros,"Praca da Independencia 150, João Pessoa, Paraíba 58013-025, Brasil",N/A,N/A,83,"4,5",52%,30%,15%,3%,0%,False
/Attraction_Review-g303428-d4059076-Reviews-Miramar_do_Dique_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia Miramar (do Dique),Praias,"João Pessoa, Paraíba, Brasil",N/A,N/A,19,"4,0",10%,64%,21%,5%,0%,False
/Attraction_Review-g303428-d10239394-Reviews-Bessa_Shopping-Joao_Pessoa_State_of_Paraiba.html,Bessa Shopping,Shopping centers,"R. Francisco Leocádio Ribeiro Coutinho, 55, João Pessoa, Paraíba 58036-450, Brasil",N/A,N/A,12,"3,5",27%,25%,16%,16%,16%,False
/Attraction_Review-g303428-d4056619-Reviews-Fagundes_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia Fagundes,Praias,"João Pessoa, Paraíba, Brasil",N/A,N/A,31,"4,0",35%,25%,40%,0%,0%,False
/Attraction_Review-g303428-d10920162-Reviews-Expo_Feira_Tambau-Joao_Pessoa_State_of_Paraiba.html,Expo Feira Tambaú,Feiras e mercados de pulgas,"Av. Almirante Tamandaré, 970 | Tambaú, João Pessoa, Paraíba 58039-010, Brasil",N/A,N/A,23,"3,5",17%,45%,34%,4%,0%,False
/Attraction_Review-g303428-d4376619-Reviews-Convent_of_Santo_Antonio_Religious_Arts_Museum-Joao_Pessoa_State_of_Paraiba.html,Convento de Santo Antonio Museu de Arte Religiosa,Museus especializados,"Praca Sao Francisco s/n | Centro, João Pessoa, Paraíba 58010-650, Brasil",N/A,N/A,36,"4,5",38%,54%,8%,0%,0%,False
/Attraction_Review-g303428-d8838804-Reviews-Monumento_Rosa_dos_Ventos-Joao_Pessoa_State_of_Paraiba.html,Monumento Rosa dos Ventos,Monumentos e estátuas,"Av. Cabo Branco | Bairro dos Seixas, João Pessoa, Paraíba, Brasil",N/A,N/A,20,"3,5",25%,20%,40%,15%,0%,False
/Attraction_Review-g303428-d12698517-Reviews-Parque_Parahyba-Joao_Pessoa_State_of_Paraiba.html,Parque Parahyba,Playgrounds,"R. Cel. José Gomes de Sá Filho | Jardim Oceania, João Pessoa, Paraíba 58037-345, Brasil",N/A,N/A,6,"4,0",35%,33%,16%,16%,0%,False
/Attraction_Review-g303428-d2342238-Reviews-Museu_e_Cripta_de_Epitacio_Pessoa-Joao_Pessoa_State_of_Paraiba.html,Museu e Cripta de Epitácio Pessoa,Museus de história,"Praça João Pessoa | Tribunal de Justiça de João Pessoa, João Pessoa, Paraíba 58013-902, Brasil",Seg - Qui,08:00 - 19:00,158,"4,0",32%,35%,31%,1%,1%,False
/Attraction_Review-g303428-d12099400-Reviews-Museu_J_Maciel-Joao_Pessoa_State_of_Paraiba.html,Museu J. Maciel,Galerias de arte,"Praça São Pedro Gonçalves, 48 | Varadouro, João Pessoa, Paraíba 58010-590, Brasil",N/A,N/A,10,"4,5",50%,40%,10%,0%,0%,False
/Attraction_Review-g303428-d15581533-Reviews-Praia_de_Jacarape-Joao_Pessoa_State_of_Paraiba.html,Praia de Jacarapé,Praias,"Via Litoranea Costa do Sol, João Pessoa, Paraíba 58045-505, Brasil",Dom - Sáb,00:00 - 23:59,6,"4,0",51%,16%,33%,0%,0%,False
/Attraction_Review-g303428-d4056636-Reviews-Miriri_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia Miriri,Praias,"João Pessoa, Paraíba, Brasil",N/A,N/A,18,"4,0",40%,33%,22%,0%,5%,False
/Attraction_Review-g303428-d13815079-Reviews-Paroquia_Nossa_Senhora_do_Rosario-Joao_Pessoa_State_of_Paraiba.html,Paróquia Nossa Senhora do Rosário,Igrejas e catedrais,"Rua Frei Martinho s/n, João Pessoa, Paraíba 58015-100, Brasil",N/A,N/A,2,"5,0",100%,0%,0%,0%,0%,False
/Attraction_Review-g303428-d12823473-Reviews-Santuario_Nossa_Senhora_da_Penha-Joao_Pessoa_State_of_Paraiba.html,Santuário Nossa Senhora da Penha,Locais históricos,"Rua Nossa Senhora da Penha s/n, João Pessoa, Paraíba 58047-010, Brasil",N/A,N/A,5,"4,0",40%,40%,20%,0%,0%,False
/Attraction_Review-g303428-d4056590-Reviews-Arraial_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia do Arraial,Praias,"João Pessoa, Paraíba, Brasil",N/A,N/A,26,"4,5",38%,51%,11%,0%,0%,False
/Attraction_Review-g303428-d2342245-Reviews-Memorial_Augusto_dos_Anjos-Joao_Pessoa_State_of_Paraiba.html,Memorial Augusto dos Anjos,Prédios públicos,"Rua Duque de Caxias, 25, Academia Paraibana de Letras | Centro, João Pessoa, Paraíba 58010-974, Brasil",N/A,N/A,19,"4,0",26%,69%,5%,0%,0%,False
/Attraction_Review-g303428-d12988361-Reviews-Parque_da_Lagoa-Joao_Pessoa_State_of_Paraiba.html,Parque da Lagoa,Parques,"João Pessoa, Paraíba, Brasil",N/A,N/A,7,"4,5",72%,28%,0%,0%,0%,False
/Attraction_Review-g303428-d4056618-Reviews-Ponta_de_Matos_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia Ponta de Matos,Praias,"João Pessoa, Paraíba, Brasil",N/A,N/A,24,"4,0",33%,55%,8%,4%,0%,False
/Attraction_Review-g303428-d10376389-Reviews-Praca_Joao_Pessoa-Joao_Pessoa_State_of_Paraiba.html,Praça João Pessoa,Pontos de interesse,"João Pessoa, Paraíba 53120-500, Brasil",N/A,N/A,11,"3,5",18%,37%,36%,9%,0%,False
/Attraction_Review-g303428-d4376620-Reviews-Museu_de_Cultura_Popular_Paraibana-Joao_Pessoa_State_of_Paraiba.html,Museu de Cultura Popular Paraibana,Museus especializados,"Terreo do Predio da Reitoria UFPB, s/n | Térreo - Cidade Universitária - Castelo Branco, João Pessoa, Paraíba 58059-900, Brasil",N/A,N/A,20,"4,0",35%,50%,10%,5%,0%,False
/Attraction_Review-g303428-d13121727-Reviews-Monumento_a_Pedra_do_Reino-Joao_Pessoa_State_of_Paraiba.html,Monumento a Pedra do Reino,Monumentos e estátuas,"Lagoa do Parque Solon de Lucena, João Pessoa, Paraíba, Brasil",N/A,N/A,3,"4,5",67%,33%,0%,0%,0%,False
/Attraction_Review-g303428-d2342316-Reviews-Oiteiro_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia do Oiteiro,Praias," | Litoral Norte, João Pessoa, Paraíba, Brasil",N/A,N/A,14,"3,5",7%,65%,21%,7%,0%,False
/Attraction_Review-g303428-d4127289-Reviews-Ednaldo_do_Egypto_Theater-Joao_Pessoa_State_of_Paraiba.html,Teatro Ednaldo do Egypto,Teatros,"Avenida Maria Rosa 284, João Pessoa, Paraíba 58038-460, Brasil",N/A,N/A,17,"3,5",17%,17%,43%,23%,0%,False
/Attraction_Review-g303428-d8838806-Reviews-Palacio_da_Redencao-Joao_Pessoa_State_of_Paraiba.html,Palácio da Redenção,Prédios públicos,"Rua Duque de Caxias 137 | Centro Histórico, João Pessoa, Paraíba 58010-974, Brasil",N/A,N/A,15,"4,5",33%,61%,6%,0%,0%,False
/Attraction_Review-g303428-d2342352-Reviews-Cidade_Baixa-Joao_Pessoa_State_of_Paraiba.html,Cidade Baixa,Áreas históricas para caminhadas," | Centro, João Pessoa, Paraíba, Brasil",N/A,N/A,49,"3,5",18%,40%,34%,8%,0%,False
/Attraction_Review-g303428-d19185245-Reviews-Ciclovia-Joao_Pessoa_State_of_Paraiba.html,Ciclovia,Trilhas para ciclismo,"Avenida Cabo Branco | Cabo Branco, João Pessoa, Paraíba 58045-010, Brasil",N/A,N/A,5,"4,5",60%,40%,0%,0%,0%,False
/Attraction_Review-g303428-d13821292-Reviews-Rio_Paraiba-Joao_Pessoa_State_of_Paraiba.html,Rio Paraiba,Massas de água,"João Pessoa, Paraíba, Brasil",N/A,N/A,2,"4,0",0%,100%,0%,0%,0%,False
/Attraction_Review-g303428-d13873585-Reviews-Ponte_Rio_Sanhaua-Joao_Pessoa_State_of_Paraiba.html,Ponte Rio Sanhauá,Pontes," | Ilha do Bispo, João Pessoa, Paraíba, Brasil",N/A,N/A,2,"4,0",0%,100%,0%,0%,0%,False
/Attraction_Review-g793398-d4056605-Reviews-Poco_Beach-Cabedelo_State_of_Paraiba.html,Praia do Poço,Praias,"Rua Vitorino Cardoso | Cidade de Cabedelo, Cabedelo, Paraíba 58101-510, Brasil",N/A,N/A,330,"4,0",35%,45%,18%,1%,1%,True
/Attraction_Review-g303428-d4126863-Reviews-UFPB_Lima_Penante_Theater-Joao_Pessoa_State_of_Paraiba.html,UFPB - Teatro Lima Penante,Teatros,"Avenida Joao Machado 67, João Pessoa, Paraíba 58013-520, Brasil",Seg - Sex,08:00 - 22:00,20,"4,0",30%,50%,20%,0%,0%,False
/Attraction_Review-g303428-d13804087-Reviews-Agencia_Central_dos_Correios-Joao_Pessoa_State_of_Paraiba.html,Agencia Central dos Correios,Obras arquitetônicas,"Praça Pedro Américo, 70, João Pessoa, Paraíba 58010-340, Brasil",N/A,N/A,2,"2,5",0%,50%,0%,0%,50%,False
/Attraction_Review-g303428-d13873688-Reviews-Casarao_dos_Azulejos-Joao_Pessoa_State_of_Paraiba.html,Casarao dos Azulejos,Locais históricos,"Rua Conselheiro Henrique 159 | Centro, João Pessoa, Paraíba 58010-690, Brasil",N/A,N/A,3,"4,0",34%,33%,33%,0%,0%,False
/Attraction_Review-g303428-d4056616-Reviews-Bonsucesso_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia Bonsucesso,Praias,"João Pessoa, Paraíba, Brasil",N/A,N/A,19,"4,5",36%,54%,10%,0%,0%,False
/Attraction_Review-g303428-d4056608-Reviews-Costinha_Beach-Joao_Pessoa_State_of_Paraiba.html,Praia Costinha,Praias,"João Pessoa, Paraíba, Brasil",N/A,N/A,18,"4,0",16%,57%,27%,0%,0%,False
